Reported Calls for: May-19-12pm

Agent, Computer Name, Duration of Call, LOB, Type, Message,
rmcneil,ausrcwa059,51 min,FXRS,WIS,MPS rates are not correct
chkelley,ausrca0055,32 min,FXRS,FSMS,database swap
gdeharo,ausrca0227,25 min,FXRS,FSMS,issue with smart post
gdeharo,ausrca0227,25 min,FXRS,FSMS,Issue with ground baracode
gdeharo,ausrca0227,24 min,FXRS,WIS,issue with rates not matching fxct tool
mbarth,ausrca0058,10 min,FXRS,WIS,drc fuctitoons
gdeharo,ausrca0227,6 min,FXRS,FSMS,delete pkg from server
mbarth,ausrca0058,5 min,FXRS,FSMS,1d on
gdeharo,ausrca0227,4 min,Café,Café,enable return in system settings
gdeharo,ausrca0227,3 min,FXRS,Misdirect,dot com call
gdeharo,ausrca0227,1 min,Café,Café,customer disconnect
