Reported Calls for: May-24-3pm

Agent, Computer Name, Duration of Call, LOB, Type, Message,
gdeharo,ausrca0227,58 min,Café,Café,clean load required
rhagemann,ausrca0054,34 min,Café,Café,Label Issue / Upgrade to 2916
macampbell,ausrcwa049,33 min,FXRS,FSMS,Enable Astra labels
sroberts,ausrca0074,28 min,Café,Café,Assisted w/Forced Upgrade Issues
rhagemann,ausrca0054,25 min,FXRS,WIS,SP Rates Unavaliable
rhagemann,ausrca0054,21 min,FXRS,Café,Client Config
macampbell,ausrcwa049,14 min,FXRS,WIS,Get production credentials
rhagemann,ausrca0054,13 min,Café,Café,Upgrade Prompt on 2916 / DL Rates
rhagemann,ausrca0054,13 min,Café,Café,Install Assist
rhagemann,ausrca0054,13 min,FXRS,WIS,SmartPost Rating
rhagemann,ausrca0054,10 min,FXRS,WIS,Free Shipping
rhagemann,ausrca0054,8 min,Café,Café,Validation
rhagemann,ausrca0054,8 min,FXRS,FSMS,Custom Label
macampbell,ausrcwa049,7 min,FXRS,WIS,Get production credentials
macampbell,ausrcwa049,5 min,Café,Café,OP 900s not printing
sroberts,ausrca0074,3 min,FXRS,Misdirect,Cust. Svc. Transfer
macampbell,ausrcwa049,3 min,Café,Misdirect,transferred to fedex.com
macampbell,ausrcwa049,3 min,Café,Café,Update current sender
macampbell,ausrcwa049,2 min,FXRS,Misdirect,transferred to fedex.com
