Reported Calls for: May-26-8am

Agent, Computer Name, Duration of Call, LOB, Type, Message,
dneal,ausrca0098,56 min,FXRS,Café,Clean Load
rhagemann,ausrca0054,45 min,FXRS,WIS,Printer Install
gdeharo,ausrca0227,16 min,Café,Café,Freight international shipment help
rhagemann,ausrca0054,11 min,FXRS,WIS,Issues with rates
rhagemann,ausrca0054,10 min,FXRS,WIS,Cert Request
rhagemann,ausrca0054,8.5 min,FXRS,WIS,Cert Request
rhagemann,ausrca0054,7 min,Café,Café,Return Billing
rhagemann,ausrca0054,6 min,Café,Café,CallTag
rmcneil,ausrcwa059,5 min,Café,Café,Change purge settings
mbarth,ausrca0058,5 min,FXRS,WIS,auth fail
mbarth,ausrca0058,5 min,FXRS,Café,reports
rhagemann,ausrca0054,4 min,FXRS,WIS,DRC Prod
gdeharo,ausrca0227,4 min,Café,Café,customer disconnect
rhagemann,ausrca0054,1.5 min,FXRS,Café,Label Printer
gdeharo,ausrca0227,1 min,FXRS,FSMS,Wanted to make sure we were open
mbarth,ausrca0058,1 min,FXRS,Misdirect,needs .com
