Reported Calls for: May-3-8am

Agent, Computer Name, Duration of Call, LOB, Type, Message,
cdriskell,ausrca0064,40 min,FXRS,WIS,tech ticket bad ZM400
rmcneil,ausrcwa059,38 min,FXRS,Café,Update software
mbarth,ausrca0058,35 min,FXRS,FSMS,ursa comms astra
rhagemann,ausrca0054,25 min,FXRS,FSMS,Cust request Database Swap / NO
dneal,ausrca0098,24 min,Café,Café,Database export
chkelley,ausrca0055,20 min,FXRS,FSMS,wis registration
rmcneil,ausrcwa059,16 min,FXRS,FSMS,Meter registeration
rmcneil,ausrcwa059,15 min,FXRS,FSMS,Solution Type missing
macampbell,ausrcwa049,11 min,FXRS,WIS,Install FXCT, generate code
macampbell,ausrcwa049,10 min,Café,Café,Acct validation for FSM download
rmcneil,ausrcwa059,10 min,FXRS,Café,FXI lookup value missing FXI repair
ahendon,ausrca0069,7 min,FXRS,FSMS,Escalation of existing case ID
ahendon,ausrca0069,5 min,Café,Café,general reference
chkelley,ausrca0055,5 min,Café,Café,software download request
ahendon,ausrca0069,3 min,FXRS,Misdirect,.COM
rhagemann,ausrca0054,.5 min,FXRS,FSMS,CIC call drop
