Reported Calls for: May-31-3pm

Agent, Computer Name, Duration of Call, LOB, Type, Message,
gdeharo,ausrca0227,37 min,FXRS,Café,aggressive modify needed
cdriskell,ausrca0064,35 min,FXRS,WIS,Label customization
macampbell,ausrcwa049,30 min,Café,Café,Corrupt databases/aggressive modify
rhagemann,ausrca0054,26 min,FXRS,FSMS,URSA Failed to Implement
rhagemann,ausrca0054,25 min,FXRS,FSMS,Supported OS
rhagemann,ausrca0054,25 min,FXRS,Café,Zebra 2348 Issue
mbarth,ausrca0058,15 min,FXRS,FSMS,install file
jpinion,ausrca0056,15 min,Café,Café,issues with new install request
jpinion,ausrca0056,13 min,FXRS,FSMS,issues with URSA
gdeharo,ausrca0227,11 min,FXRS,FXCT,install rating tool
macampbell,ausrcwa049,9 min,Café,Café,Troubleshoot LP 2844
jpinion,ausrca0056,9 min,FXRS,FSMS,issues with deleting a shipment
sroberts,ausrca0074,9 min,FXRS,FSMS,Assisted w/Meter Registration
gdeharo,ausrca0227,8 min,Café,Café,communication issue dial up
gdeharo,ausrca0227,8 min,FXRS,WIS,register for test credentials.
macampbell,ausrcwa049,8 min,FXRS,WIS,Certification questions
gdeharo,ausrca0227,8 min,FXRS,FXCT,add ltl freight acct
jpinion,ausrca0056,8 min,FXRS,WIS,issues with express labels
jpinion,ausrca0056,7 min,FXRS,FSMS,issues with comms
jpinion,ausrca0056,7 min,Café,Café,issues with CI creation
rhagemann,ausrca0054,7 min,FXRS,Misdirect,Tracking a Pkg
macampbell,ausrcwa049,7 min,FXRS,WIS,Get production credentials
macampbell,ausrcwa049,6 min,FXRS,WIS,WIS questions
macampbell,ausrcwa049,6 min,FXRS,WIS,Get production credentials
sroberts,ausrca0074,5 min,FXRS,Misdirect,Dot Com Transfer
macampbell,ausrcwa049,5 min,FXRS,WIS,Certification questions
mbarth,ausrca0058,5 min,FXRS,WIS,auth failed
sroberts,ausrca0074,5 min,Café,Café,Assisted w/EIN #, etc.
gdeharo,ausrca0227,4 min,FXRS,Café,monitor problem
gdeharo,ausrca0227,4 min,FXRS,Misdirect,dot com caller
sroberts,ausrca0074,4 min,FXRS,FSMS,Set barcode type to 1D
sroberts,ausrca0074,4 min,Café,Café,Submitted hardware tech ticket on STD
sroberts,ausrca0074,4 min,FXRS,FSMS,CIC request for product key.
jpinion,ausrca0056,3 min,FXRS,Misdirect,to customer service
gdeharo,ausrca0227,3 min,FXRS,Misdirect,dot com caller
gdeharo,ausrca0227,2 min,Café,Café,software download request
macampbell,ausrcwa049,1.5 min,FXRS,Misdirect,transferred to domestic
