Agent, Computer Name, Duration of Call, LOB, Type, Message,
gdeharo,ausrca0050,95 min,Café,Café,clean load required issue with comm
sroberts,ausrca0072,16 min,FXRS,WIS,Assisted Developer w/Cert. Process
sroberts,ausrca0072,15 min,FXRS,WIS,Web Svcs Consultation/Discussed pkg wts
mbarth,auswrca0230,15 min,FXRS,Café,aes and ltl rates
wcrosby,ausrca0071,10 min,FXRS,WIS,wsdl type
wcrosby,ausrca0071,10 min,FXRS,Café,cic work request new install
rhagemann,ausrcwa043,6 min,FXRS,FXCT,Enabling SPX
macampbell,auscrwfxrs3,5 min,FXRS,FXCT,Install FXCT
mbarth,auswrca0230,5 min,FXRS,WIS,label format
macampbell,auscrwfxrs3,5 min,FXRS,FXCT,Backup/restore databases
mbarth,auswrca0230,5 min,Café,Café,wrong address
sroberts,ausrca0072,5 min,Café,Café,Helped cust. add LTL Acct/Profile
pgarza,ausrcwb148,3 min,FXRS,WIS,WIS consultation
wcrosby,ausrca0071,3 min,FXRS,Misdirect,cust service
rhagemann,ausrcwa043,2 min,Café,Misdirect,Domestic
mbarth,auswrca0230,2 min,FXRS,Misdirect,needs rev
