Agent, Computer Name, Duration of Call, LOB, Type, Message,
anewman,ausrca0074,58 min,FXRS,FSMS,Rate error
agonzales,ausrca0056,42 min,Café,Café,Kaspersky - repair FSM
gdeharo,ausrca0050,17 min,Café,Café,add acct to existing system
rhagemann,ausrcwa043,16 min,FXRS,FSMS,Ground Issue / Missing account
ahendon,ausrca0069,15 min,FXRS,WIS,Address validation activation
gdeharo,ausrca0050,11 min,FXRS,FSMS,ursa expired
agonzales,ausrca0056,10 min,FXRS,FXCT,FXCT LTL rating
ahendon,ausrca0069,10 min,Café,Café,Unit relocation assistance
anewman,ausrca0074,10 min,FXRS,Café,Customize forms
mendrys,ausrca0070,10 min,Café,Café,reset uploads
anewman,ausrca0074,9 min,FXRS,WIS,Delete shipment wsdl
agonzales,ausrca0056,8 min,FXRS,FSMS,1D enablement
ahendon,ausrca0069,8 min,FXRS,WIS,Ship service activation confirmed
mbarth,auswrca0230,7 min,FXRS,Café,hardware printer tech tix
dsims,ausrca0062,6 min,Café,Café,Canadian postal code assistance
mbarth,auswrca0230,5 min,FXRS,Café,ursa on client
mbarth,auswrca0230,5 min,Café,Café,printer dump
ahendon,ausrca0069,3 min,Café,Café,Transfer .COM related
mendrys,ausrca0070,3 min,FXRS,WIS,asking about certification
mendrys,ausrca0070,3 min,FXRS,WIS,asking about web integration
rmcneil,ausrcb0061a,2.3 min,Café,Café,How to backup groups
mbarth,auswrca0230,2 min,FXRS,Misdirect,needs .com
mbarth,auswrca0230,2 min,FXRS,Misdirect,needs .com
mbarth,auswrca0230,2 min,FXRS,Misdirect,needs .com
rhagemann,ausrcwa043,1.5 min,FXRS,FSMS,Enable 1D
anewman,ausrca0074,1 min,Café,Café,customer disconnected
