Agent, Computer Name, Duration of Call, LOB, Type, Message,
rmcneil,ausrcb0061a,35 min,FXRS,WIS,Delivery Area Surgecharge
macampbell,auscrwfxrs3,17 min,Café,Café,Upgrade to 3009
mbarth,auswrca0230,10 min,FXRS,WIS,drc reg
anewman,ausrca0074,10 min,FXRS,FSMS,Smart post enablement
macampbell,auscrwfxrs3,9 min,Café,Café,GTA is blocked, IT needs to enable it
macampbell,auscrwfxrs3,8.5 min,Café,Café,Acct validation successful
macampbell,auscrwfxrs3,8 min,FXRS,WIS,Certification request
anewman,ausrca0074,7 min,FXRS,Café,Update sender infromation
anewman,ausrca0074,5 min,FXRS,FSMS,Fxrs upgrade
mbarth,auswrca0230,5 min,FXRS,Café,sticks on initializing
mbarth,auswrca0230,5 min,FXRS,WIS,namespace
macampbell,auscrwfxrs3,.5 min,FXRS,WIS,disconnect
