Agent, Computer Name, Duration of Call, LOB, Type, Message,
jzamora,ausrcwa049,86 min,Café,Café,lookup box not showing up./upgrade of FS
jemcavin,ausrca0052,50 min,FXRS,Café,upgrade before shipping error
cdriskell,auswidf1d62,44 min,FXRS,Café,repair bad 3009 upgrade
rhagemann,ausrcwa043,40 min,FXRS,Café,Upgrade to 3009
anewman,ausrca0074,35 min,Café,Café,Ground manifest/Software won't launch
macampbell,auscrwfxrs3,28 min,FXRS,WIS,Get production credentials
sroberts,ausrca0072,27 min,FXRS,Café,Assisted AE with Track Results FSM/FXCT
sroberts,ausrca0072,16 min,Café,Café,Assisted w/FSM Upgrade Issue
sroberts,ausrca0072,16 min,Café,Café,Assisted w/FSM Acct. Validation,etc
mbarth,auswrca0230,15 min,FXRS,WIS,drc reg
rhagemann,ausrcwa043,15 min,FXRS,FSMS,FSMS Install Issue
sroberts,ausrca0072,14 min,Café,Café,Assisted w/Expired URSA issue
jemcavin,ausrca0052,12 min,FXRS,WIS,tech for printer
jemcavin,ausrca0052,12 min,FXRS,WIS,needs production credentials
macampbell,auscrwfxrs3,10 min,FXRS,FXCT,Install FXCT
jemcavin,ausrca0052,10 min,Café,Café,new install request
mbarth,auswrca0230,10 min,Café,Café,stuck service
sroberts,ausrca0072,8 min,Café,Café,Assisted w/Forced Upgrade Issue
rhagemann,ausrcwa043,8 min,Café,Café,Writing as Deleted
macampbell,auscrwfxrs3,5 min,FXRS,Café,Cannot GTA in, get IT to help
mbarth,auswrca0230,5 min,FXRS,Café,add ein
macampbell,auscrwfxrs3,3 min,FXRS,Misdirect,transferred to revenue services
jemcavin,ausrca0052,3 min,FXRS,Café,Ship manager encountered an error
rhagemann,ausrcwa043,1 min,FXRS,WIS,Call WooCommerce
anewman,ausrca0074,1 min,Café,Café,customer disconnect
sroberts,ausrca0072,1 min,FXRS,WIS,Call Dropped/Logged Call.
