Agent, Computer Name, Duration of Call, LOB, Type, Message,
chkelley,ausrca0055,60 min,Café,Café,upgrade
rhagemann,ausrcwa043,35 min,Café,Café,LTL Discounts
anewman,ausrca0074,35 min,Café,Café,Escalate call behalf of CIC
jemcavin,ausrca0052,30 min,FXRS,FSMS,HUF not uploading/going slow
jemcavin,ausrca0052,25 min,FXRS,WIS,smartpost ship request error
jemcavin,ausrca0052,25 min,FXRS,WIS,rate request not going through
sroberts,ausrca0072,22 min,FXRS,WIS,Submitted Label Cert. Request
jemcavin,ausrca0052,20 min,FXRS,WIS,WIS certification questions
gdeharo,ausrca0050,18 min,FXRS,FXCT,had to remove the tool/re-add it
sroberts,ausrca0072,17 min,Café,Café,Assisted cust. w/downgrade to v.2916
sroberts,ausrca0072,11 min,FXRS,Café,Gave cust. com info for his I.T. rep
jemcavin,ausrca0052,10 min,Café,Café,upgrade question
mbarth,auswrca0230,10 min,FXRS,Café,client issues
anewman,ausrca0074,6 min,FXRS,FSMS,Admin service not responding
rhagemann,ausrcwa043,3 min,Café,Misdirect,Dotcom
sroberts,ausrca0072,3 min,Café,Misdirect,Dot Com Transfer
sroberts,ausrca0072,3 min,FXRS,Misdirect,Cafe Agent decided to take the cafe call
